name,detailedReview
DrPandya,"super stale, thready and sticky.. It smelled like yuck"
stw 1234,Not that tasty
Kagalkar,Worst product. Taste is very bad... Not up to the mark.
Jigar,Not gud item
Prof.M.P.Jaiswal,"Very hard, full of Sugar."
Aritra Guin,Product not up to the mark nor its customer care.
Geethu,Sugar free but added sugar present
Sapna sahi,Omg the worst meusli... I bought the packet and tasted it . The taste was so bad I couldn't finish my bowl. Now it's lying in my kitchen and idk what to do with it
Spartacus,Bad taste
kush,worst product ever i got till date..got stone inside pacakge and it calcicum carbonate lead type..dont bought this product even a single penny not worth.
Neha Sharma,Not fresh in test
The True Reviewer,not healthy but full of fake candies
Amazon Customer,"I am a huge fan of yoga bear whole grain until i have received a package from Amazon, the flax seeds and the chia seeds are burnt, the pumpkin seeds and the oats are roasted more than required, they have become brown, the entire taste of the muesli has changed, the sweetness of the berries has become less, the amount of raisins have gone down, the size of the flat brown rice has become small I seriously don't understand how can a reputed and highly sold muesli not have consistency maintained. Very disappointed, now scared to order online as there is no return."
ganesh,The worst dry fruits have gone bad and have lot of bugs or insects i dont know so disappointing.
Suresh P.,My sister bouGht this it doesn't delivered with the box after eating this she got rashes and boils in her body don't buy this product
Siddharth,"Quality of product has deteriorated badly. The two boxes I purchased got ""burnt grains"". Also some of the seeds float when milk is put, meaning the company is now using expired items. Even the rasins are put like lump of balls...
Only thing that is good is the packing... not the actual product.
Anyway, this company planned that they will initially gain customer confidence, get good rating and later give 3rd class product.
Very disappointing..."
Samrat,Very bad taste and smell.
Aeman Singh,"Very bad quality and also packing not good,"
S.Chowdhury,I am finding someone to help me to finish the packet. This might have corn syrup mixed. extremely sweet by taste and a scent. Its really hard to finish the packet by me.
XYZ,Dey v smelling v bad
Mehvish,"Terrible product. The flaxseeds taste burnt and ruins the whole flavour. Can't believe I haven't read a review which covers this point.

Are all the reviews I read, paid reviews?"
Amazonholic,Artificial taste with taste of sugar. Didn't enjoy at all
Vijay,Taste is not really good after first bite you won't feel like have again.
ragupaavan,It's not good flavor
Amazon Customer,Very bad taste
Gopi,Expected a better taste for the price..
Sushil,I didn't like the taste
Saumik Jain,"Received a faulty product , with red powder all over it , complete waste of money . You guys should conduct a proper QC before delivering a product."
pranav parekh,"The amount of essence is way to much,xan know artificial smell of strawberry added to it.
Indeed got throat infection due to it"
Pankaj Meher,"Worst product.
After using 1 time thrown in garbage."
Ajit Yadav,There is something pink powder mix in this
AmaZon2014,"Decently priced, but very sweet. People looking for healthy breakfast definitely don't like such a sugary cereal."
Anil,"I was using that product since last year, this was November's batch product but now this was look pathetic & smell is also change. Why this looks sm reddish? Not worth of money"
Amazon Customer,It was very bad in quality I saw small insects in packet smells yuksss
Sansh,The food quality is not upto the mark. I had a big stone. Highly disappointed for the money I spent on this.
Oliver,Its mostly cereal with what feels like artificial fruit flavor.
Anand,"I feel it has a added color.. n taste is not good at all.
Kellogg's is far better"
veeresh,Worst never buy it’s only wast parts of all never buy
Ravi Singh,Too much of flat rice....and hardly nuts
MNR,This product can be helpful for diabetes. Pl confirm
Mahindar B.,Previously used to buy Kellogg's.. but thought of trying this after seeing so many reviews.. I didn't liked the taste.. I'm totally disappointed .. I will never buy it again
Amazon Customer,Kellogg is far far better product please don't buy it
Ca@am89,"This the second time I bought this product,last time it was flavourful,but this time it doesn't have any flavour,and the quantity of beaten rice is more.charging higher price for such quality of product. This time it was the muesli was moist."
Soni,I don't like test
Alka Thakur,flevor is not gud .......not like by my son......waste of money ....
Aman Gupta,"It does not have berries and nuts only grains which is very sad.
Overall it was not at all tasting good as it was used to be earlier."
Nikhil,Not atleast content shown on package berries are in pacakage
sarfaraz,"They have now almost stopped adding apricot and cranberry. Initially, the product was great and ingredients were generously added. Now, it seems they think they have established themselves. Hence the degradation of quality."
Rahul,Very bad taste I was not able to eat
Juicy,Product is full of chunks...not good..not by big 750gm pack ever...only buy 500g..it is betr thn biggr one..
Dm,It majorly contains poha
Rajul Patel,"Great packaging and nutritional values, But the moment you receive your box, open and smell it, you will only smell preservatives and chemicals. I have sour throat because of excessive chemicals in this product within 2 days of use. Don't waste your money on such products."
Vijay c,"Very bad this time
Company faled to maintain quality.
This time I got with no dry fruits in it only Grains @ Rs.400 for 700g."
Garuda,Thank you for gifting us strand of your hair as a bonus. I suppose the cereal would've been great had the employee cared to wear a hat to keep food sanitised. Many thanks YogaBar
nidhi ranawat,"Don't but if you dont like sugary taste
I dont like it 😔"
vj,the purpose of getting healthy eating a muesli is crushed by eating this sugar loaded muesli.
