name,day,month,year,time of year,rating,comment,detailedReview
Ashwini Singhania,6,January,2018,January 2018,5,Must Have,Excellent Product. Has all the right things in it. Perfect in taste and a great healthy option.
MARS,14,January,2018,January 2018,5,I liked it for testier brakfast...,I liked it for testier brakfast...
Beauty Sharma,27,January,2018,January 2018,5,Five Stars,value for money & healthy option
Bappa,28,January,2018,January 2018,5,Five Stars,ok
Chandra,8,February,2018,February 2018,5,Five Stars,Very healthy and tasty...
vartika sinha,8,February,2018,February 2018,1,One Star,The packing was opened.
PURNA CHAND L,22,February,2018,February 2018,5,Five Stars,Nice
Dr. Ajay Talwar,15,March,2018,March 2018,5,Good price and quality,Good price and quality
AV,18,March,2018,March 2018,5,Five Stars,I luv it
RamyaGeetha,31,March,2018,March 2018,4,Four Stars,Good
priyanka banik,2,April,2018,April 2018,5,Five Stars,Good
Asha Bharambe,3,April,2018,April 2018,5,Amazing... Tasty and Healthy,"This is an amazing product from Kellogg's as always... tasty and healthy blend together... of Muesli, fruits and nuts."
PEERMOHAMAD A,5,April,2018,April 2018,5,Five Stars,Good taste
Tapaswini,16,April,2018,April 2018,1,Received open packet. Cheating to customer. Should be ...,Received open packet.Very Very Bad. Cheating to customer. Should be eligible for Zero star.
Harneet,19,April,2018,April 2018,3,Average taste,"I don't like it much
Just okayish for me"
Abhilash Bhatt,23,April,2018,April 2018,4,Four Stars,its ok... corn flacks quantity too much
HKJS,30,April,2018,April 2018,5,Good,Must buy product
rajni,1,May,2018,May 2018,2,Very bad experience with this,Very bad experience with this. Really bad. I got insects in my pack when I had it in my bowl of milk. I checked and thorough out the whole pack in bin.
Serenity,6,May,2018,May 2018,4,Four Stars,Tastes good. But I was surprised at how thin they can slice almonds. Didn't know it was possible.
Sudipa,22,May,2018,May 2018,5,Awesome!!,Awesome!!!!!....those who don't like cornflakes should give it a try because its (muesli) taste is far better than the regular one....I just love to have it for breakfast...
Sunil Sharma,24,May,2018,May 2018,5,Tasty,I love it. The taste is very delicious.
ARWIND MODI,4,June,2018,June 2018,5,Five Stars,Good
Prasad,9,June,2018,June 2018,1,Very bad behavior,Very bad
Amazon Customer,10,June,2018,June 2018,5,Very Good Product,Must try producy
Manish Mandal,11,June,2018,June 2018,3,Three Stars,"okay, could have been better"
Chandrashis Das,13,June,2018,June 2018,5,Value for money,Super product and lightning fast delivery..
Kalyan,21,June,2018,June 2018,5,Good product.,Good product.
Mithun,30,June,2018,June 2018,5,Awesome & Tasty muesli - go for it,This is really awesome...tasty muesli..I have tried Bagrry's crunchy muesli with oats but its tasteless when you mix it with milk..This is bit sweet and tastier than other muesli..go for Baggry (you may need honey to be added separately for the taste) if you are a strict diet follower if not try Kellogg's Fruit & nut - its just awesome & you wont regret..
Vishwanath,1,July,2018,July 2018,5,Good quality but price should be little less,I bought this product and used same product from Patanjali too. I think why to pay more if we are getting same product in less prize
venkatesh,4,July,2018,July 2018,5,Five Stars,very tasty
amit singh,5,July,2018,July 2018,1,Damage Product,Got Damage product. Seal is already broken and they tapped it.
D.M,9,July,2018,July 2018,5,More than met with my expectations,"Was lovely & so tasty. I had it plain.
Not a cornflakes person at all.

Confession: the crunchiness was liked by my lil pup too.😊"
Rakhi,11,July,2018,July 2018,2,Carton received torn open,The carton received was torn open. Bad experience.
a ratna kishore,12,July,2018,July 2018,4,Four Stars,good for breakfast. I love to buy again.
supritha,13,July,2018,July 2018,5,Yummy yumm,Yummy yumm
SUSHIL KUMAR AHUJA,14,July,2018,July 2018,5,Tasty healthy morning food,Soft & tasty
Sharad,17,July,2018,July 2018,5,Five Stars,good. No issues.
Poonam,30,July,2018,July 2018,5,Five Stars,My daughter love it.... It is very healthy breakfast for kids
Lilly456,30,July,2018,July 2018,1,Not worthy,"Just one word, no. If you want to buy muesli try some other brand."
Pratima Katoch,4,August,2018,August 2018,5,Healthy fruit and nuts..fresh and quality product by amazon,Like it..nuts r really awesome
shrijita das,5,August,2018,August 2018,5,Nice product,Tasty full of nuts and dried candied fruits!
CK,17,August,2018,August 2018,5,Healthy and tasty,Crunchy healthy and tasty!! Like it
Jason C.,20,August,2018,August 2018,5,Five Stars,Fantastic experience
Krishnan Subbarman,27,August,2018,August 2018,5,Five Stars,Nutritious and great taste
Peerooz,29,August,2018,August 2018,5,Economical,Value for money
PAKHI er AAKASH,29,August,2018,August 2018,5,Good,Good Product
Avanit K.,1,September,2018,September 2018,3,Three Stars,"Some how lacks fruit and nuts, only flacks"
Shanky,7,September,2018,September 2018,5,My favourite Muesli,"This one is the best Muesli and everyone at home likes it the most. There is a Nuts flavour as well but that's not sweet enough for the kids. And the fruit flavour does not have healthy nuts. So this is the best blend.
So glad to find it on Amazon. Got it very well packed and Muesli was so fresh as well."
Meghna Basu,9,September,2018,September 2018,4,Good taste,Good for start a morning
Anubhav,12,September,2018,September 2018,5,Good for health,Loved it
Dheeraj,24,September,2018,September 2018,5,Good product from Kelloggs and timely delivery from amazon,Good. Product from kelloggs
AEL,4,October,2018,October 2018,4,Good stuff but there is better and more original Muesli out there ...,"This Kelloggs product, like all Kelloggs products is of good quality but I think that other grains or roughage should be increased and the 'processed' flake content should be reduced.
It is after all being called a Muesli, which in Europe (where the concept originates) never contains processed flakes.

A great product to compare this with is Alpen Muesli (used to be a Weetabix product, I think but is now just ""Alpen"")."
Goutham Reddy,6,October,2018,October 2018,5,Five Stars,Good for breakfast
Amazon Customer,6,October,2018,October 2018,5,Good one,I am eating since launched and must try
avirag,6,October,2018,October 2018,5,good,superbb for breakfast
Thomas Thambi,10,October,2018,October 2018,5,It's good,Nothing to dislike
Amazon Customer,14,October,2018,October 2018,4,Muesli,Good stuff though a bit too powdery
aditya,16,October,2018,October 2018,5,Awesome,"Good ,worth a try"
Kapil,19,October,2018,October 2018,5,Thanks,Nice
jayashree,20,October,2018,October 2018,5,Must buy,Best product I ordered it twice very healthy n worth for Price.
Amazon Customer,20,October,2018,October 2018,5,Good,Good taste
Vishnu Gawade,20,October,2018,October 2018,5,Good,Good
Anuja,25,October,2018,October 2018,1,Open box,This is how I received the product.
Rahul R.,26,October,2018,October 2018,5,Breakfast essential,Wotth money
Akash Panday,29,October,2018,October 2018,5,Great deal,Good discount received
Karthikeyan,4,November,2018,November 2018,5,Tasty quick snack. Little healthy too,Tasty quick snack. Little healthy too
I Love Mecca,10,November,2018,November 2018,5,Given to my father who is 67 years old and he really liked it.,This Muesli has given a smile of my old fathers face and this is the reason I like it. Thank You Kellogs. Amazon has very decent delivery staff!
Roopesh Kumar.B,10,November,2018,November 2018,5,Good,Good
Amazon Customer,10,November,2018,November 2018,5,Good,Good
Prathamesh Bagave,11,November,2018,November 2018,5,good quality product,good quality product
C Das,11,November,2018,November 2018,5,Nice,Nice
sathish,17,November,2018,November 2018,1,Package is open n torn,Package seal is open n torn and it is not returnable also.
Pronnoy Chandra,18,November,2018,November 2018,4,Healthy,Healthy but Taste is so so. Granola tastes better.
