name,day,month,year,date,rating,comment,detailedReview
Kavrao,18,January,2019,January 2019,5,Great product! Great price!,A very good product with good taste along with great ingredients! Very aptly priced with great packaging. Best thing to carry to work which helps one avoid junk food when hungry. Excited to try other flavors as well.
Lakshya Kamra,21,January,2019,January 2019,5,Great product,"Overall a great product. The packet inside is resealable which protects it from moisture. Great taste. Although Baggry's is similar, I chose this as it contains chia and flax as well."
Deepesh V,23,January,2019,January 2019,3,Just ok,Okayish taste...
Asif Ahamad,27,January,2019,January 2019,3,No so good,Includes nuts of more quality than dry fruits.. So it is not worth for what we are spending
Pooja Devlekar,28,January,2019,January 2019,5,Amazing product 👌, It's very tasty and affordable and filled with all the goodies needed for your diet
Cheryl d’souza,29,January,2019,January 2019,5,Worth it!!, A mix of healthy and nutritious ingredients this mueseli makes for the perfect healthy breakfast to start your day.
Z,2,February,2019,February 2019,5,Wow!,"I really want to applaud the ppl at yogabar who come up with such great combinations, the perfect taste, they have mastered the art of what will taste the best with what. I’m so happy with all the ingredients and how they complement each other and taste great with milk/yoghurt! Best buy!"
JEDx,3,February,2019,February 2019,5,Not only this museli is yum but also healthy with 100% wheat I loved it,Yum yum yum
santhosh,4,February,2019,February 2019,4,Good,It's awesome with multi seeds & cranberries.
giriharan,6,February,2019,February 2019,5,Great,"Has good quantity of fruits and seeds
Healthy ingredients
Totally happy with the product"
AmCust,6,February,2019,February 2019,5,One of the best breakfast cereal in the market,"I have always liked yogabars energy and protein bars, so when they launched Muesli tried it. It is really good and supports guilt free consumption as it's all natural..!!"
Mandrake,9,February,2019,February 2019,5,"Delicious, Nutritious, Healthy - all that brekkie should be",Great breakfast option. My favourite is the chocolate version but everyone in the family prefers different flavours. They are all delicious and healthy. I'm happy to have found a great breakfast option.
Jaideep Khanduja,15,February,2019,February 2019,4,good for health,liked for both its taste and purpose of delivering health.
Jay,15,February,2019,February 2019,5,Go for it!,Best snack for anybody! Just loved it!!
Ranadheep,16,February,2019,February 2019,4,The product,The product is very good for health
King,17,February,2019,February 2019,4,A truly homegrown cereal,"I have been a regular consumer of cerals over the past few years and have tasted quite a few. Viz. Dorset, kellogs muesli etc. Yoga is quite a healthy mix of seeds, oats fruits and overall likeable to the Indian palate. Would wish for a higher portion of fruit. Would rate it 4 stars over the other Indian cereals available."
Pramod Raikar,18,February,2019,February 2019,5,good quality ingredients.,"I have tried yogabar cereal bars and they were great, good quality ingredients and not too sweet. I stumbled upon their Muesli and as per Swiss Muesli style. It turned to be great."
sameer Khan,19,February,2019,February 2019,4,"Taste, quality with rich quantity","Amazing product, taste is excellent."
Priyanka,25,February,2019,February 2019,5,Wonderful Breakfast option,"I love to start my day with Yoga Bars...too delicious and healthy.
I wish to buy this in large package."
